filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
B71example0.fast5	cad921b8-02fe-4076-963c-6aa28fe4f46f	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	114	4	22670.830250	76.757250	61405	TRUE	22670.879000	61366	76.708500	30332	12.333814	3.069808	81.244392	9.847805	81.244392	9.847805
B71example0.fast5	7ef37154-47f9-4377-9b65-e2faced5a82a	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	306	4	32740.947000	80.567750	64454	TRUE	32741.014500	64400	80.500250	28548	14.912879	3.039222	74.210251	9.671952	74.210251	9.671952
B71example0.fast5	ceb17801-9898-435f-8cfb-81802e5a9d73	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	64	1	93792.648000	20.921750	16737	TRUE	93793.431750	16110	20.138000	7312	14.875319	3.047045	67.351959	8.792684	67.351959	8.792684
B71example0.fast5	68a27e58-326d-40df-9596-77945763ca71	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	360	4	72068.721750	97.654750	78123	TRUE	72068.953000	77938	97.423500	31384	15.203198	2.947264	77.375618	10.023659	77.375618	10.023659
B71example0.fast5	d0835f42-d539-403a-8ced-cc076e0330d3	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	30	2	44854.541250	12.987250	10389	TRUE	44854.551250	10381	12.977250	4782	13.386968	3.038633	76.320496	9.671952	76.320496	9.671952
B71example0.fast5	6f1888bc-a7f2-4c0c-b969-f28ad94f6332	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	39	2	122654.255750	168.048250	134438	TRUE	122654.683250	134096	167.620750	52294	14.057776	2.895987	77.903175	9.671952	77.903175	9.671952
B71example0.fast5	6f8a6d19-4b79-41c3-9400-9ad787fe4510	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	454	3	43913.597500	5.664500	4531	TRUE	43913.637500	4499	5.624500	2143	9.906959	2.961731	81.068542	9.847805	81.068542	9.847805
B71example0.fast5	80061805-7224-47af-8939-0f9fcee24053	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	436	3	83453.335500	107.507750	86006	TRUE	83453.486750	85885	107.356500	38290	12.092273	2.980794	79.661713	9.671952	79.661713	9.671952
B71example0.fast5	d10fd348-96f9-4edb-b67d-65921314b8d5	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	229	4	35660.083000	127.530750	102024	TRUE	35660.184250	101943	127.429500	42186	15.010719	2.983024	75.089516	9.671952	75.089516	9.671952
B71example0.fast5	6e6c75bb-c21b-48f6-a428-1e17edbb820d	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	47	1	26745.826250	146.900000	117520	TRUE	26745.870000	117485	146.856250	52607	13.144367	3.027116	76.496346	9.496099	76.496346	9.496099
B71example0.fast5	d9a58770-d081-4147-b9b5-20e06c1dac0b	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	121	3	67400.983750	35.745000	28596	TRUE	67401.102500	28501	35.626250	12283	13.879264	2.982990	78.958298	10.199512	78.958298	10.199512
B71example0.fast5	6e816c4e-a44b-4a29-b647-12fdfeb8b96b	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	148	2	134546.322000	23.193750	18555	FALSE	134546.415750	18480	23.100000	6487	8.941856	2.655866	79.485855	9.671952	79.485855	9.671952
B71example0.fast5	7ed6d64d-075a-44bc-86eb-3ec513b12b93	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	388	3	71987.715250	152.602000	122081	TRUE	71988.025250	121833	152.292000	36545	16.568647	2.739255	78.782440	10.023659	78.782440	10.023659
B71example0.fast5	dbb4df27-f149-4d24-919d-c0bc287c23d0	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	495	1	51990.960250	50.637750	40510	TRUE	51991.007750	40472	50.590250	18304	14.256241	3.029363	78.606590	9.847805	78.606590	9.847805
B71example0.fast5	78488af0-37e0-432c-9008-4eda8f431297	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	291	4	61341.824750	48.230750	38584	TRUE	61341.838500	38573	48.217000	19992	11.494319	3.078652	75.792931	9.671952	75.792931	9.671952
B71example0.fast5	82d6f3a6-8151-4394-937f-cdcebde33e67	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	170	2	11176.301750	139.206250	111365	TRUE	11176.346750	111329	139.161250	51291	15.075017	3.084288	77.551468	10.023659	77.551468	10.023659
B71example0.fast5	8c86d344-50ae-4731-acbb-6ba9ae6e94a0	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	499	3	49166.767750	34.147500	27318	TRUE	49166.799000	27293	34.116250	12700	12.818468	3.068968	80.189270	10.023659	80.189270	10.023659
B71example0.fast5	8ddb01cc-0575-4873-b693-3f1cc689faf8	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	27	4	46357.293000	10.237000	8189	TRUE	46357.320500	8167	10.209500	3611	14.431107	3.022579	80.716835	10.023659	80.716835	10.023659
B71example0.fast5	8fd9733f-2d0e-489b-a08c-91cd3f25136b	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	408	1	38212.165000	6.567000	5253	TRUE	38212.442500	5031	6.289500	2417	9.978960	3.019564	80.365128	9.496099	80.365128	9.496099
B71example0.fast5	786b5033-a069-47cc-9969-2cfb8743a089	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	157	4	29453.496500	64.104500	51283	TRUE	29453.814000	51029	63.787000	24069	15.585188	3.110127	78.606590	9.671952	78.606590	9.671952
B71example0.fast5	e00b58f6-6ba2-43f3-b0cf-e1947ebcf534	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	263	3	32616.060500	72.771000	58216	TRUE	32616.394250	57949	72.437250	25893	15.186941	3.057445	73.330978	9.671952	73.330978	9.671952
B71example0.fast5	e04522d4-2de0-4676-8935-3439bafd5d34	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	40	2	43948.774500	17.107000	13685	TRUE	43948.874500	13605	17.007000	5858	13.804770	2.992832	81.420250	10.023659	81.420250	10.023659
B71example0.fast5	e20b4b3e-5662-4cb7-a45f-c4e6348656b7	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	422	4	20694.608500	13.075750	10460	TRUE	20694.686000	10398	12.998250	5386	9.096350	3.086161	77.727325	10.023659	77.727325	10.023659
